Station ID,Station Name,Stop Type,Managed By,Request Stop,No. Of Platforms,Platforms Used,Stopped At,Passed Through (Stopped),Passed Through (Not Stopped)
CAG,Carrbridge,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CRS,Carstairs,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CDY,Cartsdyke,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CCT,Cathcart,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CHC,Charing Cross,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CTE,Chatelherault,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CKS,Clarkston,Train,Scotrail,NO,0,NULL,N/A,NULL,NULL
CEA,Cleland,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CYK,Clydebank,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CBC,Coatbridge Central,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CBS,Coatbridge Sunnyside,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
COA,Coatdyke,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CON,Connel Ferry,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CBD,Conon Bridge,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CKH,Corkerhill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CPA,Corpach,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CRR,Corrour,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
COW,Cowdenbeath,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CGD,Craigendoran,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CNR,Crianlarich,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CFF,Croftfoot,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CKT,Crookston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
COI,Crosshill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CMY,Crossmyloof,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CRO,Croy,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CUA,Culrain,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
CUB,Cumbernauld,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CUP,Cupar,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
CUH,Curriehill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DAG,Dalgety Bay,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DAL,Dalmally,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DAK,Dalmarnock,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DAM,Dalmeny,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DMR,Dalmuir,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DLR,Dalreoch,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DLY,Dalry,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DLW,Dalwhinnie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DIN,Dingwall,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DRM,Drem,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DMC,Drumchapel,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DFR,Drumfrochar,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DRU,Drumgelloch,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DMY,Drumry,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DRN,Duirinish,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
DST,Duke Street,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DBC,Dumbarton Central,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DBE,Dumbarton East,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DUM,Dumbreck,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DMF,Dumfries,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DUN,Dunbar,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DBL,Dunblane,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DCG,Duncraig,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
DEE,Dundee,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DFE,Dunfermline City,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DFL,Dunfermline Queen Margaret,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DKD,Dunkeld & Birnam,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DNL,Dunlop,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
DNO,Dunrobin Castle,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
DYC,Dyce,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
EKL,East Kilbride,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ELT,East Linton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
EST,Easterhouse,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
EGY,Edinburgh Gateway,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
EDP,Edinburgh Park,Train,Scotrail,NO,2,NULL.,NULL,NULL,NULL
EDB,Edinburgh Waverley,Train,Network Rail,NO,0,NULL,NULL,NULL,NULL
ELG,Elgin,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
EKB,Eskbank,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
EXG,Exhibition Centre,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FRL,Fairlie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FKG,Falkirk Grahamston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FKK,Falkirk High,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FOC,Falls of Cruachan,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FLD,Fauldhouse,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FRN,Fearn,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FOR,Forres,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FRS,Forsinard,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FTM,Fort Matilda,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
FTW,Fort William,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GAL,Galashiels,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GCH,Garelochhead,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GAR,Garrowhill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GRS,Garscadden,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GRH,Gartcosh,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GVE,Grave,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GGJ,Georgemas Junction,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GFN,Giffnock,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GSC,Gilshochill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GIR,Girvan,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GLC,Glasgow Central,Train,Network Rail,NO,0,NULL,NULL,NULL,NULL
GLQ,Glasgow Queen Street,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GLE,Gleneagles,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GLF,Glenfinnan,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GLG,Glengarnock,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GLT,Glenrothes with Thornton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GOF,Golf Street,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GOL,Golspie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GBG,Gorebridge,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GRK,Gourock,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GRL,Greenfaulds,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GKC,Greenock Central,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GKW,Greenock West,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
GEA,Gretna Green,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HMY,Hairmyres,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HNC,Hamilton Central,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HNW,Hamilton West,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HTW,Hartwood,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HKH,Hawkhead,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HYM,Haymarket,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HLC,Helensburgh Central,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HLU,Helensburgh Upper,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HMS,Helmsdale,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HST,High Street,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HLF,Hillfoot,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HLE,Hillington East,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HLW,Hillington West,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HLY,Holytown,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HOZ,Howwood,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HNT,Huntly,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
HYN,Hyndland,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
INS,Insch,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
IGD,Invergordon,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ING,Invergowrie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
INK,Inverkeithing,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
INP,Inverkip,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
INV,Inverness,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
IVA,Inverness Airport,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
INH,Invershin,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
INR,Inverurie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
IRV,Irvine,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
JHN,Johnstone,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
JOR,Jordanhill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KEH,Keith,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KVD,Kelvindale,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KNS,Kennishead,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KIL,Kildonan,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
KMK,Kilmarnock,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KLM,Kilmaurs,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KPT,Kilpatrick,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KWN,Kilwinning,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KBC,Kinbrace,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
KGH,Kinghorn,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KGP,Kings Park,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KGE,Kingsknowe,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KIN,Kingussie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KTR,Kintore,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KDY,Kirkcaldy,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KRK,Kirkconnel,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
