Station ID,Station Name,Stop Type,Managed By,Request Stop,No. Of Platforms,Platforms Used,Stopped At,Passed Through (Stopped),Passed Through (Not Stopped)
THS,Thurso,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
TRN,Troon,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
TUL,Tulloch,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
TWB,Tweedbank,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
TYL,Tyndrum Lower,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
UDD,Uddingston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
UHA,Uphall,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
UTY,Upper Tyndrum,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WAF,Wallyford,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WMS,Wemyss Bay,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WCL,West Calder,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WKB,West Kilbride,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WTA,Wester Hailes,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WES,Westerton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WFF,Whifflet,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WNL,Whinehill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WCR,Whitecraigs,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WCK,Wick,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WLM,Williamswood,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WSH,Wishaw,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
WDL,Woodhall,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
YOK,Yoker,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
